,Team1_summonerId_1,Team1_summonerId_2,Team1_summonerId_3,Team1_summonerId_4,Team1_summonerId_5,Team1_win,Team2_summonerId_1,Team2_summonerId_2,Team2_summonerId_3,Team2_summonerId_4,Team2_summonerId_5,Team2_win,gameId
games,21302646,20965425,25532701,97717284.0,20717177.0,False,84326864,42256924,93647556,19828997.0,44246839.0,True,3146553112
games,21302646,46517338,96197841,83567148.0,95927411.0,False,30001868,21726747,85891136,44746989.0,42829492.0,True,3145693097
games,21302646,60607879,42287489,65227634.0,94987702.0,False,20778901,88957526,19828997,32317426.0,44246839.0,True,3145480069
games,21302646,20815637,59607544,21580625.0,94418904.0,False,32317725,33037228,22322085,94789012.0,37802452.0,True,3144545997
games,21302646,44749129,19673273,22676062.0,97607448.0,True,28931680,33037228,36807499,22322085.0,95206798.0,False,3144439244
games,21302646,20050662,28931680,32188888.0,71136981.0,True,30001868,29342259,41523185,19422663.0,36632741.0,False,3144369472
games,21302646,33678783,95206799,44476338.0,94418904.0,True,97408299,37047002,71136981,20820358.0,44246839.0,False,3144309693
games,21302646,19151853,21726747,20610206.0,97717284.0,True,19708052,28931680,83567148,47428011.0,40219771.0,False,3139984591
games,21302646,27492090,94987702,72857387.0,44246839.0,False,30001868,23735326,20747228,97717284.0,40219771.0,True,3139835651
games,21302646,22082647,23735326,72857387.0,40219771.0,False,21528940,28931680,27408923,97717284.0,20747228.0,True,3139779714
games,37802452,82747125,84676869,94987702.0,97717284.0,False,46517338,57316908,21729191,33707181.0,44246839.0,True,3145972277
games,37802452,95136910,93607205,20143895.0,48628389.0,True,21614611,58267469,97717284,23556507.0,25747089.0,False,3145864772
games,37802452,41579202,37903782,20927600.0,24415613.0,True,96016861,21614611,95136910,40634635.0,28027570.0,False,3145808832
games,37802452,95136903,89187062,44256841.0,44746989.0,True,57346994,58727186,36807499,38584693.0,95927411.0,False,3145209623
games,37802452,23307330,65227634,94987702.0,20927600.0,False,97408299,37047002,36029612,22043009.0,95927411.0,True,3144836589
games,37802452,32317725,33037228,22322085.0,94789012.0,True,20815637,21302646,59607544,21580625.0,94418904.0,False,3144545997
games,37802452,42256924,55226881,56677331.0,71136981.0,False,20050662,96197841,65227634,32188888.0,21608444.0,True,3144241489
games,37802452,33611908,24312189,46797945.0,34980265.0,True,94567028,74428528,41523185,35917998.0,72857387.0,False,3144223399
